GOID,Date,publisher,title,Text,year
1670094950,1980-05-01,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1980,"This 1980 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1980
6206956837,1980-07-10,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1980,"This 1980 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1980
5325316860,1980-08-23,Los Angeles Times Communications LLC,Coverage of Dyslexia in 1980,"This 1980 article from Los Angeles Times Communications LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1980
5537253172,1980-09-14,Newsday LLC,Coverage of Autism in 1980,"This 1980 article from Newsday LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1980
2306710475,1980-11-09,Los Angeles Times Communications LLC,Coverage of Autism in 1980,"This 1980 article from Los Angeles Times Communications LLC discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1980
8667272366,1981-02-20,New York Times Company,Coverage of Autism in 1981,"This 1981 article from New York Times Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1981
3253890010,1981-02-28,Chicago Tribune Media Group,Coverage of Dyslexia in 1981,"This 1981 article from Chicago Tribune Media Group discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1981
1199502978,1981-11-03,WP Company LLC d/b/a The Washington Post,Coverage of Autism in 1981,"This 1981 article from WP Company LLC d/b/a The Washington Post discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1981
2111451555,1982-02-19,Newsday LLC,Coverage of Dyslexia in 1982,"This 1982 article from Newsday LLC discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1982
9370399619,1982-03-30,WP Company LLC d/b/a The Washington Post,Coverage of Dyslexia in 1982,"This 1982 article from WP Company LLC d/b/a The Washington Post discusses dyslexia, examining everyday experiences, educational challenges, and recent research on how to better support individuals with dyslexia across school and work settings.",1982
2934879560,1982-06-16,New York Times Company,Coverage of Autism in 1982,"This 1982 article from New York Times Company discusses autism, examining everyday experiences, educational challenges, and recent research on how to better support individuals with autism across school and work settings.",1982
